SKU,DAFTAR BARANG,KATEGORI,MERK
MHPP0001,AFUR WASBAK PVC HPP,Afur,HPP
MCLAS0001,AFUR WASBAK STAINLESS CLASSIC,Afur,CLASSIC
MHASS0001,AIR DUSTER HASSTON DG-10 0160-130,Air,HASSTON
MHASS0002,ALAT CABUT PIPA KRAN PATAH HASSTON,Alat,HASSTON
MRRT0001,AMPLAS BESI RRT 0,Amplas,RRT
MRRT0002,AMPLAS BESI RRT 1,Amplas,RRT
MRRT0003,AMPLAS BESI RRT 1 1/2,Amplas,RRT
MRRT0004,AMPLAS BESI RRT 2,Amplas,RRT
MRRT0005,AMPLAS BESI RRT 2 1/2,Amplas,RRT
MRRT0006,AMPLAS BESI RRT 3,Amplas,RRT
MJEJE0001,AMPLAS BULAT 100 JEJE,Amplas,JEJE
MMST0001,AMPLAS BULAT 100 MST,Amplas,MST
MJEJE0002,AMPLAS BULAT 120 JEJE,Amplas,JEJE
MSAB0001,AMPLAS BULAT 120 SAB,Amplas,SAB
MJEJE0003,AMPLAS BULAT 150 JEJE,Amplas,JEJE
MSAB0002,AMPLAS BULAT 150 SAB,Amplas,SAB
MJEJE0004,AMPLAS BULAT 180 JEJE,Amplas,JEJE
MSAB0003,AMPLAS BULAT 180 SAB,Amplas,SAB
MMAXT0001,AMPLAS BULAT 240 MAXTECH,Amplas,MAXTECH
MSAB0004,AMPLAS BULAT 240 SAB,Amplas,SAB
MGLAD0001,AMPLAS BULAT 60 GLADIO,Amplas,GLADIO
MSAB0005,AMPLAS BULAT 60 SAB,Amplas,SAB
MSAB0006,AMPLAS BULAT 80 SAB,Amplas,SAB
MRRT0007,AMPLAS DUCO RRT 180,Amplas,RRT
MRRT0008,AMPLAS DUCO RRT 220,Amplas,RRT
MRRT0009,AMPLAS DUCO RRT 240,Amplas,RRT
MFS0001,AMPLAS DUCO RRT 280 FS,Amplas,FS
MRRT0010,AMPLAS DUCO RRT 360,Amplas,RRT
MTAIY0001,AMPLAS DUCO TAIYO 1000,Amplas,TAIYO
MTAIY0002,AMPLAS DUCO TAIYO 120,Amplas,TAIYO
MTAIY0003,AMPLAS DUCO TAIYO 1200,Amplas,TAIYO
MTAIY0004,AMPLAS DUCO TAIYO 1500,Amplas,TAIYO
MTAIY0005,AMPLAS DUCO TAIYO 2000,Amplas,TAIYO
MTAIY0006,AMPLAS DUCO TAIYO 320,Amplas,TAIYO
MTAIY0007,AMPLAS DUCO TAIYO 400,Amplas,TAIYO
MTAIY0008,AMPLAS DUCO TAIYO 500,Amplas,TAIYO
MTAIY0009,AMPLAS DUCO TAIYO 600,Amplas,TAIYO
MTAIY0010,AMPLAS DUCO TAIYO 800,Amplas,TAIYO
MMODE0001,ANGKER M-2100B MODERN,Angker,MODERN
MMODE0002,ANGKER M-2130B MODERN,Angker,MODERN
MMODE0003,ANGKER M-2150 MODERN,Angker,MODERN
MMODE0004,ANGKER M-2300B MODERN,Angker,MODERN
MMODE0005,ANGKER M-2350B MODERN,Angker,MODERN
MMODE0006,ANGKER M-2360B MODERN,Angker,MODERN
MMODE0007,ANGKER M-2600 MODERN,Angker,MODERN
MMODE0008,ANGKER M-2700 MODERN,Angker,MODERN
MMODE0009,ANGKER M-2750 MODERN,Angker,MODERN
MMODE0010,ANGKER M-2900 MODERN,Angker,MODERN
MMOLL0001,ANGKER MOLLAR MT 60,Angker,MOLLAR
MMOLL0002,ANGKER MOLLAR MT 90,Angker,MOLLAR
MARTC0001,AS GROBAK ARTCO,As Grobak,ARTCO
MGENE0001,BAK GEROBAK,Bak Gerobak,GENERIC
MHPP0002,"BALL VALVE GG BESI 1"" HPP",Ball Valve,HPP
MGLX0001,BALL VALVE GG BESI 1/2 GLX,Ball Valve,GLX
MHPP0003,BALL VALVE GG BESI 1/2 HPP,Ball Valve,HPP
MBLIT0001,BALL VALVE GG BESI 3/4 BLITZ,Ball Valve,BLITZ
MHPP0004,BALL VALVE GG BESI 3/4 HPP,Ball Valve,HPP
MHIOS0001,"BALL VALVE KUNINGAN HIOSHI 1/2""",Ball Valve,HIOSHI
MHIOS0002,"BALL VALVE KUNINGAN HIOSHI 3/4""",Ball Valve,HIOSHI
MGRT0001,"BALL VALVE PVC 1"" GRT",Ball Valve,GRT
MGRT0002,BALL VALVE PVC 1/2 GRT,Ball Valve,GRT
MNEW0001,BALL VALVE PVC 1/2 NEW,Ball Valve,NEW
MGRT0003,BALL VALVE PVC 3/4 GRT,Ball Valve,GRT
MNEW0002,BALL VALVE PVC 3/4 NEW,Ball Valve,NEW
MHIOS0003,"BALL VALVE PVC HIOSHI 1""",Ball Valve,HIOSHI
MHIOS0004,"BALL VALVE PVC HIOSHI 1/2""",Ball Valve,HIOSHI
