Nama Produk,SKU / Kode Produk,Barcode,Kategori,Satuan Dasar,Merk / Brand,Lokasi / Rak,Hitung Stok (ya/tidak),Harga Modal / Beli,Harga Jual Eceran,Harga Jual Grosir,Harga Jual Promo,Diskon per Item (Rp),Stok di Rak / Display,Stok di Gudang,Stok Minimum,Stok Minimum Gudang,Satuan Beli dari Supplier,Isi per Satuan Beli,Satuan Jual Besar,Produk Master (ID),Qty Isi per Paket,Jenis Isi Paket,Satuan Isi Paket,HPP (AVCO),Total Aset,Harga Besar
(BELI 3 GRATIS 1) LAMPU LUBY EYESENTIAL 12W,MLUBEL03,MLUBEL03,Rumah tangga,PCS,LUBY,Area 04,tidak,49914,85000,0,0,0,0,0,5,,,1,,,,,,0,0,
(BELI 3 GRATIS 1) LAMPU LUBY EYESENTIAL 15W,MLUBEL04,MLUBEL04,Rumah tangga,PCS,LUBY,Area 04,tidak,61005,100000,0,0,0,0,0,5,,,1,,,,,,0,0,
(BELI 3 GRATIS 1) LAMPU LUBY EYESENTIAL 5W,MLUBEL01,MLUBEL01,Rumah tangga,PCS,LUBY,Area 04,tidak,31796,55000,0,0,0,0,0,5,,,1,,,,,,0,0,
(BELI 3 GRATIS 1) LAMPU LUBY EYESENTIAL 9W,MLUBEL02,MLUBEL02,Rumah tangga,PCS,LUBY,Area 04,tidak,43444,75000,0,0,0,0,0,5,,,1,,,,,,0,0,
DOWNLIGHT LUBY 207 11W 3 WARNA,MLUDOW06,MLUDOW06,Rumah tangga,PCS,LUBY,Area 04,tidak,87503,130000,0,0,0,0,0,5,,,1,,,,,,0,0,
"DOWNLIGHT LUBY 207 3,5W",MLUDOW05,MLUDOW05,Rumah tangga,PCS,LUBY,Area 04,tidak,40054,60000,0,0,0,0,0,5,,,1,,,,,,0,0,
DOWNLIGHT LUBY 301 BULAT 12 W,MLUDOW03,MLUDOW03,Rumah tangga,PCS,LUBY,Area 04,tidak,59156,90000,0,0,0,0,0,5,,,1,,,,,,0,0,
DOWNLIGHT LUBY 301 BULAT 9W,MLUDOW01,MLUDOW01,Rumah tangga,PCS,LUBY,Area 04,tidak,44675,60000,0,0,0,0,0,5,,,1,,,,,,0,0,
DOWNLIGHT LUBY 302 KOTAK 12 W,MLUDOW04,MLUDOW04,Rumah tangga,PCS,LUBY,Area 04,tidak,48373,190000,0,0,0,0,0,5,,,1,,,,,,0,0,
DOWNLIGHT LUBY 302 KOTAK 9W,MLUDOW02,MLUDOW02,Rumah tangga,PCS,LUBY,Area 04,tidak,62854,73000,0,0,0,0,0,5,,,1,,,,,,0,0,
