id,kd_brg,barcode,nama,merk,satuan,kd_supp,modal,barcode_image
1,0BB TESTJM,MHIO01,OBENG TESTPEN 2 WAY JUMBO,HIOSHI,PCS,KBB,4963.75,
2,AGR BT1/2,MHIO02,"AUGERBITS 1/2"" (13 MM) HIOSHI",HIOSHI,PCS,KBB,12825.0,
3,AGR BT1/4,MHIO03,"AUGERBITS 1/4"" (6MM) HIOSHI",HIOSHI,PCS,KBB,7671.25,
4,AGR BT3/4,MHIO04,"AUGERBITS 3/4"" (19MM) HIOSHI",HIOSHI,PCS,KBB,20757.5,
5,AGR BT3/8,MHIO05,"AUGERBITS 3/8"" (10MM) HIOSHI",HIOSHI,PCS,KBB,9262.5,
6,AGR BT5/16,MHIO06,AUGERBITS 5/16 (8MM) HIOSHI,HIOSHI,PCS,KBB,8193.75,
7,AGR BT5/8,MHIO07,"AUGERBITS 5/8"" (16MM) HIOSHI",HIOSHI,PCS,KBB,16743.75,
8,AMP BLT 120,MSAB01,AMPLAS BULAT 120 SAB,SAB,PCS,SUARI,320.0,
9,AMP BLT 150,MSAB02,AMPLAS BULAT 150 SAB,SAB,PCS,SUARI,320.0,
10,AMP BLT 400,MSAB03,AMPLAS BULAT 400 SAB,SAB,PCS,SUARI,325.0,
11,AMP BLT 60,MSAB04,AMPLAS BULAT 60 SAB,SAB,PCS,SMS,320.0,
12,AMP BLT 80,MSAB05,AMPLAS BULAT 80 SAB-XX,SAB,PCS,SUARI,270.0,
13,AMP DC IGM150,MIGM01,AMPLAS DUCO IGM 150,IGM,PCS,HIK,1150.0,
14,AMP DC IGM1500,MIGM02,AMPLAS DUCO IGM 1500,IGM,PCS,HIK,1150.0,
15,AMP DC IGM2000,MIGM03,AMPLAS DUCO IGM 2000,IGM,PCS,HIK,1150.0,
16,AMP DC IGM400,MIGM04,AMPLAS DUCO IGM 400,IGM,PCS,HIK,1150.0,
17,AMP DC IGM600,MIGM05,AMPLAS DUCO IGM 600,IGM,PCS,HIK,1150.0,
18,AMP DCTY 1000,MTAI01,AMPLAS DUCO TAIYO 1000,TAIYO,PCS,SUARI,1175.0,
19,AMP DCTY 2000,MTAI02,AMPLAS DUCO TAIYO 2000,TAIYO,PCS,SUARI,1175.0,
20,AMP DCTY 240,MTAI03,AMPLAS DUCO TAIYO 240,TAIYO,PCS,SUARI,1175.0,
21,AMP DCTY 280,MTAI04,AMPLAS DUCO TAIYO 280,TAIYO,PCS,SUARI,1175.0,
22,AMP DCTY 400,MTAI05,AMPLAS DUCO TAIYO 400,TAIYO,PCS,SUARI,1275.0,
23,AMP DCTY 60,MTAI06,AMPLAS DUCO TAIYO 60,TAIYO,PCS,SUARI,1175.0,
24,AMP RL 120 GM,MGOM01,AMPLAS ROLL 120 GOMEO,GOMEO,ROL,NIB,190000.0,
25,AMP RL 60 GM,MGOM02,AMPLAS ROLL 60 GOMEO,GOMEO,ROL,NIB,180000.0,
26,AMP RLKD 120,MKOD01,AMPLAS ROLL KODAI 120,KODAI,ROL,SUARI,140000.0,
27,AMP RLKD 150,MKOD02,AMPLAS ROLL KODAI 150,KODAI,ROL,SUARI,140000.0,
28,AMP RLKD 240,MKOD03,AMPLAS ROLL KODAI 240,KODAI,ROL,SUARI,140000.0,
29,AMP RLKD 400,MKOD04,AMPLAS ROLL KODAI 400,KODAI,ROL,SUARI,140000.0,
30,AMP RLKD 80,MKOD05,AMPLAS ROLL KODAI 80,KODAI,ROL,SUARI,140000.0,
31,AMP RLTY 100,MTAI07,AMPLAS ROLL TAIYO 100,TAIYO,ROL,SUARI,205000.0,
32,AMP RLTY 120,MTAI08,AMPLAS ROLL TAIYO 120,TAIYO,ROL,SUARI,210000.0,
33,AMP RLTY 150,MTAI09,AMPLAS ROLL TAIYO 150,TAIYO,PCS,SUARI,205000.0,
34,AMP RLTY 180,MTAI10,AMPLAS ROLL TAIYO 180,TAIYO,ROL,SUARI,205000.0,
35,AMP RLTY 400,MTAI11,AMPLAS ROLL TAIYO 400,TAIYO,ROL,SUARI,205000.0,
36,ARM 2100 JIZ10,MMOD01,ARM BOR M2100B/JIZ10,MODERN,PCS,GMM,58295.0,
37,ARM 2300B SIM100,MMOD02,ARM GRINDA M2300B/SIM100,MODERN,PCS,GMM,58295.0,
38,ARM 2350B,MMOD03,ARM GRINDA M2350B,MODERN,PCS,GMM,67450.0,
39,ARM 2600,MMOD04,ARM CIRCULAR M2600L,MODERN,PCS,GMM,107955.0,
40,ARM 2750,MMOD05,ARMATURE TRIMMER M2750,MODERN,PCS,GMM,74273.0,
41,ARM M2100 JIZ10B,MMOD06,ARMATURE DRILL M-2100B/JIZ-10B,MODERN,PCS,GMM,75050.0,
42,ARM PLANNER,MMOD07,ARMATURE PLANNER M2900,MODERN,PCS,GMM,74100.0,
43,ARM TRIMMER,MMOD08,ARMATURE TRIMMER M2700,MODERN,PCS,GMM,92150.0,
44,BAKCAT ELGN,MELE01,BAK CAT HITAM ELEGANT,ELEGANT,PCS,NIB,47500.0,
45,BAKCAT RYR,MREY01,BAK CAT REYNER,REYNER,LSN,NIB,47500.0,
46,BAN DLM ARCO,MART01,BAN DALAM ARTCO,ARTCO,PCS,NIB,20000.0,
47,BB BSCH 6,MBOS01,BOR BETON BOSCH 6,BOSCH,PCS,RKW,12183.36,
48,BB BSCH 8,MBOS02,BOR BETON BOSCH 8,BOSCH,PCS,RKW,16200.0,
49,BB GM 6,MGOM03,"BOR BETON GOMEO 6""",GOMEO,PCS,NIB,2700.0,
50,BB GM 8,MGOM04,"BOR BETON GOMEO 8""",GOMEO,PCS,NIB,4200.0,
51,BB HSS 10,MHAS01,BOR BETON 10 HASSTON,HASSTON,PCS,CPI,14355.0,
52,BB HSS 12,MHAS02,BOR BETON 12 HASSTON,HASSTON,PCS,CPI,19525.0,
53,BB HSS 6,MHAS03,BOR BETON 6 HASSTON,HASSTON,PCS,CPI,9130.0,
54,BB HSS 8,MHAS04,BOR BETON 8 HASSTON,HASSTON,PCS,CPI,12760.0,
55,BB SDS 8,MXXX01,BOR BETON SDS 8,,PCS,RKW,25600.0,
56,BCP50 PLV,MPIL01,BCP 50 PILOV + AFUR,PILOV,SET,SU,70000.0,
57,BCP50 PRSTL,MPRE01,BCP 50 PRESTIL + AFUR,PRESTIL,SET,STS,67500.0,
58,BCP50 RRT,MXXX02,BCP 50 X 40 RRT,,PCS,SU,57500.0,
59,BCP60 YZ,MYOZ01,"BCP HM 60 X 45 ""YOZURI""",YOZURI,SET,STS,662055.0,
60,BCP75 PRSTL,MPRE02,BCP 75 PRESTIL + AFUR,PRESTIL,SET,STS,79000.0,
61,BCP75 RRT,MXXX03,BCP 75 X 40 RRT,,PCS,SU,77500.0,
62,BCP75 YZ,MYOZ02,"BCP HM 75 X 40 ""YOZURI""",YOZURI,SET,STS,715000.0,
63,BCP96 PLV,MPIL02,BCP 96 PILOV + AFUR,PILOV,SET,SU,95000.0,
64,BCP96 PRSTL,MPRE03,BCP 96 PRESTIL + AFUR,PRESTIL,SET,STS,92600.0,
65,BCP96 RRT,MOLI01,"BCP / WASHBAK 96 X 43 X 0,4",OLIQ,PCS,LGA,93500.0,
66,BCP96 RRT SU,MXXX04,BCP 96 X 43 RRT,,PCS,SU,87500.0,
67,BDM 16LBS,MHIO08,BODEM / PALU PON ULIR 16 LBS,HIOSHI,PCS,KBB,148200.0,
68,BDM 18LBS,MHIO09,BODEM / PALU PON ULIR 18 LBS,HIOSHI,PCS,KBB,166725.0,
69,BDM 20LBS,MHIO10,BODEM / PALU PON ULIR 20 LBS,HIOSHI,PCS,KBB,190000.0,
70,BDPL 8545SN,MGOM05,BODY PELOR GOMEO 8545 SN,GOMEO,LSN,NIB,600000.0,
71,BDPL CLS,MCLA01,BODY PELOR CLASSIC,CLASSIC,LSN,HSJ,441800.0,
72,BDPL ISCO,MISC01,BODY PELOR ISCO,ISCO,LSN,STD,31000.0,
73,BDPL ISCO SET,MISC02,BODY PELOR ISCO PER SET,ISCO,SET,STD,31000.0,
74,BDPL ISCO SS304,MISC03,BODY PELOR ISCO PLAT SS304,ISCO,SET,STD,34375.0,
75,BDPL SS7016,MGOM06,BODY PELOR GOMEO SS 7016,GOMEO,PCS,NIB,87500.0,
76,BHARCO,MART02,BAN HIDUP ARTCO / BAN KOMPLIT,ARTCO,PCS,NIB,130000.0,
77,BL RL KPL,MXXX05,"BULU KUAS ROLL KAPAL 4""",,LSN,,7125.0,
78,BL RL KPL HH,MXXX06,"BULU KUAS ROLL KAPAL 4""",,LSN,HHH,7125.0,
79,BLARCO NI,MART03,BAN LUAR ARTCO MERAH,ARTCO,PCS,NIB,52500.0,
80,BOR KNG 10,MGOM07,"BOR KUNING 10"" GOMEO",GOMEO,PCS,NIB,8250.0,
81,BOR KNG 3,MGOM08,"BOR KUNING 3"" GOMEO",GOMEO,PCS,NIB,1125.0,
82,BT KNSL,MKIN01,BATU SLEP KINIK M100X6X16,KINIK,PCS,JCK,6500.0,
83,BT10HSH,MHIO11,BETEL TOPI 10 X 16 HIOSHI,HIOSHI,PCS,KBB,17100.0,
84,BT12HSH,MHIO12,BETEL TOPI 12 X 16 HIOSHI,HIOSHI,PCS,KBB,20520.0,
85,BT8HSH,MHIO13,BETEL TOPI 8 X 16 HIOSHI,HIOSHI,PCS,KBB,13680.0,
86,BTAS DYK 6,MDAY01,BATU ASAH DAYAK 6 ABU,DAYAK,PCS,NAS,8750.0,
87,BTAS DYK 8,MDAY02,BATU ASAH DAYAK 8 ABU,DAYAK,PCS,NAS,9500.0,
88,BTAS TCT,MHIO14,BATU ASAH TCT HIOSHI,HIOSHI,PCS,KBB,27312.5,
89,BTAS TCT HSS,MHAS05,BATU ASAH TCT HASSTON,HASSTON,PCS,CPI,37675.0,
90,BTGS AWS6,MAWS01,"BATU GOSOK ORANGE AWS 6""",AWS,PCS,NIB,6400.0,
91,BTGS AWS8,MAWS02,"BATU GOSOK ORANGE AWS 8""",AWS,PCS,NIB,6400.0,
