id,kd_brg,barcode,nama,merk,satuan,kd_supp,modal,barcode image
1,0BB TESTJM,0BB TESTJM,OBENG TESTPEN 2 WAY JUMBO,HIOSHI,PCS,KBB,4963.75,
2,AGR BT1/2,AGR BT1/2,"AUGERBITS 1/2"" (13 MM) HIOSHI",HIOSHI,PCS,KBB,12825,
3,AGR BT1/4,AGR BT1/4,"AUGERBITS 1/4"" (6MM) HIOSHI",HIOSHI,PCS,KBB,7671.25,
4,AGR BT3/4,AGR BT3/4,"AUGERBITS 3/4"" (19MM) HIOSHI",HIOSHI,PCS,KBB,20757.5,
5,AGR BT3/8,AGR BT3/8,"AUGERBITS 3/8"" (10MM) HIOSHI",HIOSHI,PCS,KBB,9262.5,
6,AGR BT5/16,AGR BT5/16,AUGERBITS 5/16 (8MM) HIOSHI,HIOSHI,PCS,KBB,8193.75,
7,AGR BT5/8,AGR BT5/8,"AUGERBITS 5/8"" (16MM) HIOSHI",HIOSHI,PCS,KBB,16743.75,
8,AMP BLT 120,AMP BLT 120,AMPLAS BULAT 120 SAB,SAB,PCS,SUARI,320,
9,AMP BLT 150,AMP BLT 150,AMPLAS BULAT 150 SAB,SAB,PCS,SUARI,320,
10,AMP BLT 400,AMP BLT 400,AMPLAS BULAT 400 SAB,SAB,PCS,SUARI,325,
11,AMP BLT 60,AMP BLT 60,AMPLAS BULAT 60 SAB,SAB,PCS,SMS,320,
12,AMP BLT 80,AMP BLT 80,AMPLAS BULAT 80 SAB-XX,SAB,PCS,SUARI,270,
13,AMP DC IGM150,AMP DC IGM150,AMPLAS DUCO IGM 150,IGM,PCS,HIK,1150,
14,AMP DC IGM1500,AMP DC IGM1500,AMPLAS DUCO IGM 1500,IGM,PCS,HIK,1150,
15,AMP DC IGM2000,AMP DC IGM2000,AMPLAS DUCO IGM 2000,IGM,PCS,HIK,1150,
16,AMP DC IGM400,AMP DC IGM400,AMPLAS DUCO IGM 400,IGM,PCS,HIK,1150,
17,AMP DC IGM600,AMP DC IGM600,AMPLAS DUCO IGM 600,IGM,PCS,HIK,1150,
18,AMP DCTY 1000,AMP DCTY 1000,AMPLAS DUCO TAIYO 1000,TAIYO,PCS,SUARI,1175,
19,AMP DCTY 2000,AMP DCTY 2000,AMPLAS DUCO TAIYO 2000,TAIYO,PCS,SUARI,1175,
20,AMP DCTY 240,AMP DCTY 240,AMPLAS DUCO TAIYO 240,TAIYO,PCS,SUARI,1175,
21,AMP DCTY 280,AMP DCTY 280,AMPLAS DUCO TAIYO 280,TAIYO,PCS,SUARI,1175,
22,AMP DCTY 400,AMP DCTY 400,AMPLAS DUCO TAIYO 400,TAIYO,PCS,SUARI,1275,
23,AMP DCTY 60,AMP DCTY 60,AMPLAS DUCO TAIYO 60,TAIYO,PCS,SUARI,1175,
24,AMP RL 120 GM,AMP RL 120 GM,AMPLAS ROLL 120 GOMEO,GOMEO,ROL,NIB,190000,
25,AMP RL 60 GM,AMP RL 60 GM,AMPLAS ROLL 60 GOMEO,GOMEO,ROL,NIB,180000,
26,AMP RLKD 120,AMP RLKD 120,AMPLAS ROLL KODAI 120,KODAI,ROL,SUARI,140000,
27,AMP RLKD 150,AMP RLKD 150,AMPLAS ROLL KODAI 150,KODAI,ROL,SUARI,140000,
28,AMP RLKD 240,AMP RLKD 240,AMPLAS ROLL KODAI 240,KODAI,ROL,SUARI,140000,
29,AMP RLKD 400,AMP RLKD 400,AMPLAS ROLL KODAI 400,KODAI,ROL,SUARI,140000,
30,AMP RLKD 80,AMP RLKD 80,AMPLAS ROLL KODAI 80,KODAI,ROL,SUARI,140000,
31,AMP RLTY 100,AMP RLTY 100,AMPLAS ROLL TAIYO 100,TAIYO,ROL,SUARI,205000,
32,AMP RLTY 120,AMP RLTY 120,AMPLAS ROLL TAIYO 120,TAIYO,ROL,SUARI,210000,
33,AMP RLTY 150,AMP RLTY 150,AMPLAS ROLL TAIYO 150,TAIYO,PCS,SUARI,205000,
34,AMP RLTY 180,AMP RLTY 180,AMPLAS ROLL TAIYO 180,TAIYO,ROL,SUARI,205000,
35,AMP RLTY 400,AMP RLTY 400,AMPLAS ROLL TAIYO 400,TAIYO,ROL,SUARI,205000,
36,ARM 2100 JIZ10,ARM 2100 JIZ10,ARM BOR M2100B/JIZ10,MODERN,PCS,GMM,58295,
37,ARM 2300B SIM100,ARM 2300B SIM100,ARM GRINDA M2300B/SIM100,MODERN,PCS,GMM,58295,
38,ARM 2350B,ARM 2350B,ARM GRINDA M2350B,MODERN,PCS,GMM,67450,
39,ARM 2600,ARM 2600,ARM CIRCULAR M2600L,MODERN,PCS,GMM,107955,
40,ARM 2750,ARM 2750,ARMATURE TRIMMER M2750,MODERN,PCS,GMM,74273,
41,ARM M2100 JIZ10B,ARM M2100 JIZ10B,ARMATURE DRILL M-2100B/JIZ-10B,MODERN,PCS,GMM,75050,
42,ARM PLANNER,ARM PLANNER,ARMATURE PLANNER M2900,MODERN,PCS,GMM,74100,
43,ARM TRIMMER,ARM TRIMMER,ARMATURE TRIMMER M2700,MODERN,PCS,GMM,92150,
44,BAKCAT ELGN,BAKCAT ELGN,BAK CAT HITAM ELEGANT,ELEGANT,PCS,NIB,47500,
